Protocol,FND_mean,FND_std,HND_mean,HND_std,LND_mean,LND_std,PDR_mean,PDR_std,LatA_mean,LatA_std,Gini_mean,Gini_std,Overhead_mean,Overhead_std,Overhead_tdma_mean,Overhead_tdma_std,Throughput_mean,Throughput_std,AvgEnergy_mean,AvgEnergy_std
CARHy_RL,346.8500,59.3360,1459.1500,121.6986,8000.0000,0.0000,0.8727,0.0152,24.6878,1.2435,0.1961,0.0108,0.5200,0.0541,0.5200,0.0541,37.5116,3.6920,0.0363,0.0049
AODV,292.9500,62.1556,1485.5500,128.7668,8000.0000,0.0000,0.9521,0.0237,32.3976,1.4226,0.1931,0.0094,14.9113,0.3864,14.9113,0.3864,44.3996,4.0106,0.0361,0.0049
DSDV,59.1500,5.7881,250.0000,16.0329,8000.0000,0.0000,0.8678,0.0616,26.8835,0.9028,0.1933,0.0098,1.2020,0.0160,1.2020,0.0160,8.3520,1.3286,0.0361,0.0050
ZRP,322.7500,71.5217,1716.3500,161.8086,8000.0000,0.0000,0.9511,0.0240,28.0448,1.4626,0.1944,0.0095,5.8978,0.3827,5.8978,0.3827,51.0745,4.4934,0.0361,0.0049
EH_Routing,311.9000,53.8124,1266.6000,74.4173,8000.0000,0.0000,0.9508,0.0165,26.0874,1.5312,0.2014,0.0107,1.0000,0.0000,1.0000,0.0000,33.5663,3.4956,0.0360,0.0049
MSLBA,293.5000,56.1731,1336.1500,103.0530,8000.0000,0.0000,0.9562,0.0158,22.0093,0.8735,0.1912,0.0096,1.0000,0.0000,1.0000,0.0000,41.7421,5.5740,0.0363,0.0050
RLCR,401.3500,166.6371,1295.7000,86.5351,8000.0000,0.0000,0.9402,0.0140,33.9447,0.6496,0.2003,0.0105,0.0362,0.0001,0.1778,0.0012,34.7432,3.6444,0.0363,0.0050
FQ_UCR,123.3000,48.7821,1159.4500,113.0945,8000.0000,0.0000,0.9148,0.0155,35.2597,0.7191,0.1977,0.0104,0.0377,0.0001,0.0968,0.0025,29.1803,3.3446,0.0369,0.0051
RPL,272.9000,89.4238,1780.2000,163.4376,8000.0000,0.0000,0.9544,0.0200,27.5720,1.4307,0.1967,0.0104,0.0142,0.0033,0.0142,0.0033,50.2789,4.9877,0.0359,0.0049
CARHy_Rule,342.2500,57.4602,1432.3000,102.9686,8000.0000,0.0000,0.8688,0.0155,24.9409,1.2331,0.1969,0.0109,0.6346,0.0152,0.6346,0.0152,36.4018,3.6661,0.0363,0.0049
